Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie,overview
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,century marine dispatch moon pandora mission become follow order protect civilization
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,captain barbossa long believe come back life head edge earth will turner elizabeth swann nothing quite seem
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,message bond sends trail uncover sinister organization battle force keep service bond peel back layer deceit reveal truth spectre
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,follow death district attorney harvey dent batman assume responsibility dent crime protect attorney reputation subsequently hunt gotham city police department year later batman encounter selina kyle bane leader overwhelm gotham dark knight resurfaces protect city brand enemy
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,john carter captain inexplicably transport planet barsoom mar reluctantly become embroil epic conflict world brink collapse carter rediscovers humanity realize survival barsoom people rest hand
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seemingly go crop villain include sandman superpower alter organism alter ego peter parker deal nemesis eddie brock also get catch love triangle
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,kingdom flynn rider hide tower take hostage rapunzel beautiful teen foot hair flynn captor look ticket tower lock away year strike deal thief duo set escapade horse chameleon gang pub thug
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tony stark try jumpstart peacekeeping program thing go awry earth mightiest hero put test fate planet hang balance ultron emerge avenger stop enact plan soon alliance action pave way epic adventure
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,harry begin year hogwarts discover book mark prince begin learn lord voldemort dark past
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fear action super hero leave gotham city vigilante take metropolis savior world wrestle sort hero really need batman superman war threat quickly arise put mankind danger ever know
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,superman return discover absence allow lex luthor walk abandon move luthor plot revenge see million kill change face planet forever well rid man steel
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,quantum solace continue adventure james bond casino royale betray vesper woman love fight urge make mission pursue determination uncover truth bond m interrogate white reveal organization blackmail vesper far anyone imagine
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,captain jack sparrow work way blood debt ghostly davey jones also attempt avoid damnation
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,texas ranger chase gang outlaw lead butch cavendish gang ambush ranger seemingly kill survivor find however indian name tonto nurse back health ranger don mask rid stallion name silver team tonto bring gang others ilk justice
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,boy learn power earth man journey discover come send hero emerge save world annihilation become symbol hope mankind
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,year adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid prince life threaten king miraz now help cast character include trufflehunter badger nikabrik dwarf pevensie clan embark quest ensure narnia return heir
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enemy emerges threaten safety security nick fury director peacekeeping agency know find need team pull world back brink disaster span globe recruitment effort begin
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,captain jack sparrow cross path woman past love con artist use find fountain youth force queen anne revenge ship pirate blackbeard jack find adventure know fear blackbeard woman past
